compute_processes,cpu_percent,full_sample_ns,gpu_clock_mhz,gpu_memory_bytes,gpu_memory_util_percent,gpu_power_w,gpu_temp_c,gpu_util_percent,major_faults,minor_faults,monotonic_ns,pids,process_swap_bytes,pss_bytes,read_bytes,rss_bytes,swap_in_bytes,swap_out_bytes,swap_used_bytes,system_anon_bytes,system_available_bytes,system_cached_bytes,system_cpu_percent,system_mlocked_bytes,system_sreclaimable_bytes,system_total_bytes,system_used_bytes,time_s,uss_bytes,vmhwm_bytes,vms_bytes,write_bytes
"[{""pid"": 2622421, ""bytes"": 1449132032}]",206.4,2150299969016245,2872,1981153280,0,217.008,65,0,1289,13621898,2150300169236678,"[2622421, 2627614]",0,7692054528,41989758976,8101875712,16965836800,32445517824,434962432,6673702912,186598125568,6789005312,7.4,28299264,2384990208,200083849216,13485723648,1.512095982,7665795072,55925157888,111704068096,45985792
"[{""pid"": 2622421, ""bytes"": 1516240896}]",141.4,2150299969016245,2872,2048262144,0,217.008,65,0,1297,13637979,2150300269372408,"[2622421, 2627614, 2627655]",0,7692054528,42071085056,8324579328,16965836800,32445517824,434962432,6880677888,186394206208,6786359296,5.7,28299264,2385055744,200083849216,13689643008,1.612231712,7665795072,55925157888,112409337856,54648832
"[{""pid"": 2622421, ""bytes"": 1516240896}]",219.5,2150299969016245,2872,2048262144,0,217.008,65,0,1306,13640221,2150300369499381,"[2622421, 2627614, 2627660]",0,7692054528,42071150592,8391696384,16965836800,32445517824,434962432,6947995648,186370842624,6795833344,10.6,28299264,2385465344,200083849216,13713006592,1.712358685,7665795072,55925157888,112409337856,63234048
"[{""pid"": 2622421, ""bytes"": 1516240896}]",201.4,2150299969016245,2872,2048262144,0,217.008,65,0,1317,13643465,2150300469598462,"[2622421, 2627614]",0,7692054528,42071150592,8162144256,16965836800,32445517824,434962432,6735364096,186361511936,6808526848,7.8,28299264,2385723392,200083849216,13722337280,1.812457766,7665795072,55925157888,111704068096,75649024
"[{""pid"": 2622421, ""bytes"": 2321547264}]",296.0,2150299969016245,2872,2853568512,0,217.008,65,0,1324,13780451,2150300569863164,"[2622421, 2627614]",0,7692054528,42071162880,8707174400,16965836800,32445517824,434962432,7283707904,185923358720,6816694272,10.1,28299264,2386010112,200083849216,14160490496,1.912722468,7665795072,55925157888,176801280000,83582976
"[{""pid"": 2622421, ""bytes"": 2321547264}]",264.5,2150299969016245,2857,2853568512,11,270.372,66,46,1325,13852658,2150300670035072,"[2622421, 2627614]",0,7692054528,42373070848,9015717888,16965836800,32445517824,434962432,7583199232,185616666624,6824611840,8.3,28299264,2386030592,200083849216,14467182592,2.012894376,7665795072,55925157888,176801280000,84865024
"[{""pid"": 2622421, ""bytes"": 2355101696}]",333.8,2150299969016245,2857,2887122944,11,270.372,66,46,1327,13853130,2150300770281269,"[2622421, 2627614]",0,7692054528,42850357248,9015656448,16965836800,32445517824,434962432,7583236096,185605414912,6821769216,10.6,28299264,2386087936,200083849216,14478434304,2.113140573,7665795072,55925157888,176801280000,87031808
"[{""pid"": 2622421, ""bytes"": 3126853632}]",327.4,2150299969016245,2857,3658874880,11,270.372,66,46,1331,13899759,2150300870391601,"[2622421, 2627614]",0,7692054528,43032846336,9209405440,16965836800,32445517824,434962432,7769690112,185476907008,6825816064,10.3,28299264,2386198528,200083849216,14606942208,2.213250905,7665795072,55925157888,176802328576,90529792
"[{""pid"": 2622421, ""bytes"": 3609198592}]",180.3,2150300970502884,2857,4141219840,11,270.372,66,46,1336,13979905,2150300970502884,"[2622421, 2627614]",0,9442721792,43286265856,9471213568,16965836800,32445517824,434962432,8092848128,185217605632,6831087616,6.3,28299264,2386317312,200083849216,14866243584,2.313362188,9416462336,55925157888,176802328576,94064640
"[{""pid"": 2622421, ""bytes"": 3676307456}]",170.0,2150300970502884,2857,4208328704,11,270.372,66,46,1337,13995030,2150301070621963,"[2622421, 2627614]",0,9442721792,43422912512,9592848384,16965836800,32445517824,434962432,8155447296,185178877952,6835867648,7.0,28299264,2386345984,200083849216,14904971264,2.413481267,9416462336,55925157888,176802328576,96497664
